Country,Population,Area,Density
China,1425893465,9706961,151
India,1407563842,3287590,477
United States,336997624,9372610,37
Indonesia,273753191,1904569,147
Pakistan,231402117,881912,306
Nigeria,213401323,923768,240
Brazil,214326223,8515767,26
Bangladesh,169356251,147570,1315
Russia,145102755,17098242,9
Mexico,126705138,1964375,66
Japan,124612530,377930,340
Ethiopia,120283026,1104300,109
Philippines,113880328,342353,388
Egypt,109262178,1002450,111
DR Congo,95894118,2344858,44
Vietnam,97468029,331212,313
Iran,87923432,1648195,55
Turkey,84775404,783562,109
Germany,83408554,357114,239
Thailand,71601103,513120,140
United Kingdom,67281039,242900,279
Tanzania,63588334,945087,74
France,64531444,551695,118
South Africa,59392255,1221037,49
Italy,59240329,301336,200
Myanmar,53798084,676578,83
Kenya,53005614,580367,95
Colombia,51516562,1141748,47
South Korea,51830139,100210,531
Spain,47486935,505992,95
Uganda,45853778,241550,236
Sudan,45657202,1886068,25
Argentina,45276780,2780400,17
Algeria,44177969,2381741,19
Iraq,43533592,438317,102
Afghanistan,40099462,652230,63
Poland,38307726,312679,130
Ukraine,43531422,603500,69
Canada,38155012,9984670,4
Morocco,37076584,446550,84
Saudi Arabia,35950396,2149690,17
Angola,34503774,1246700,29
Uzbekistan,34081449,447400,79
Peru,33715471,1285216,27
Malaysia,33573874,330803,103
Yemen,32981641,527968,64
Ghana,32833031,238533,147
Mozambique,32077072,801590,42
Nepal,30034989,147181,213
Madagascar,28915653,587041,51
Venezuela,28199867,916445,32
Ivory Coast,27478249,322463,89
Cameroon,27198628,475442,59
Niger,25252722,1267000,21
Australia,25921089,7692024,3
North Korea,25971909,120538,217
Taiwan,23859912,36193,660
Burkina Faso,22100683,272967,83
Mali,21904983,1240192,19
Syria,21324367,185180,120
Sri Lanka,21773441,65610,353
Malawi,19889742,118484,216
Zambia,19473125,752612,27
Romania,19328560,238391,85
Chile,19493184,756102,26
Kazakhstan,19196465,2724900,7
Ecuador,17797737,276841,72
Guatemala,17608483,108889,167
Chad,17179740,1284000,14
Somalia,17065581,637657,28
Netherlands,17501696,41850,522
Senegal,16876720,196722,90
Cambodia,16589023,181035,95
Zimbabwe,15993524,390757,42
Guinea,13531906,245857,56
Rwanda,13461888,26338,558
Benin,12996895,112622,118
Burundi,12551213,27834,502
Tunisia,12262946,163610,80
Bolivia,12079472,1098581,11
Belgium,11611419,30528,385
Haiti,11447569,27750,420
Jordan,11148278,89342,127
Dominican Republic,11117873,48671,232
Cuba,11256372,109884,108
South Sudan,10748272,619745,17
Sweden,10467097,450295,26
Czech Republic,10510751,78865,136
Honduras,10278345,112492,93
Greece,10445365,131990,81
Azerbaijan,10312992,86600,125
Portugal,10290103,92090,112
Papua New Guinea,9949437,462840,22
Hungary,9709786,93028,109
Tajikistan,9750064,143100,72
Belarus,9578167,207600,47
United Arab Emirates,9365145,83600,133
Israel,8900059,20770,418
Austria,8922082,83871,108
Togo,8644829,56785,163
Switzerland,8691406,41284,221
Sierra Leone,8420641,71740,119
Laos,7425057,236800,33
Hong Kong,7494578,1104,7132
Serbia,7296769,88361,83
Nicaragua,6850540,130373,58
Libya,6735277,1759540,4
Bulgaria,6885868,110879,62
Paraguay,6703799,406752,17
Kyrgyzstan,6527743,199951,35
Turkmenistan,6341855,488100,14
El Salvador,6314167,21041,306
Singapore,5941060,710,8323
Republic of the Congo,5835806,342000,17
Denmark,5854240,43094,147
Slovakia,5447622,49037,115
Central African Republic,5457154,622984,9
Finland,5535992,338424,18
Lebanon,5592631,10452,537
Norway,5403021,323802,15
Liberia,5193416,111369,55
Palestine,5133392,6220,872
New Zealand,5129727,270467,20
Costa Rica,5153957,51100,101
Ireland,4986526,70273,73
Mauritania,4614974,1030700,5
Oman,4520471,309500,15
Panama,4351267,75417,59
Kuwait,4250114,17818,240
Croatia,4060135,56594,72
Georgia,3757980,69700,54
Eritrea,3620312,117600,30
Uruguay,3426260,181034,20
Mongolia,3347782,1564110,2
Moldova,3061506,33846,100
Puerto Rico,3256028,8870,367
Bosnia and Herzegovina,3270943,51209,63
Albania,2854710,28748,104
Jamaica,2827695,10991,261
Armenia,2790974,29743,98
Lithuania,2786651,65300,44
Gambia,2639916,10689,267
Qatar,2688235,11586,235
Botswana,2588423,582000,5
Namibia,2530151,825615,3
Gabon,2341179,267668,9
Lesotho,2281454,30355,76
Slovenia,2119410,20273,105
Guinea Bissau,2060721,36125,75
North Macedonia,2103330,25713,83
Latvia,1873919,64559,30
Equatorial Guinea,1634466,28051,60
Trinidad and Tobago,1525663,5130,298
Bahrain,1463265,765,1875
Timor Leste,1320942,14874,90
Estonia,1328701,45227,31
Mauritius,1298915,2040,640
Cyprus,1244188,9251,135
Eswatini,1192271,17364,70
Djibouti,1105557,23200,48
Reunion,966129,2511,388
Fiji,924610,18272,51
Comoros,821625,1862,450
Guyana,804567,214969,4
Bhutan,777486,38394,21
Solomon Islands,707851,28896,26
Luxembourg,639321,2586,252
Montenegro,627859,13812,47
Suriname,612985,163820,4
Cape Verde,587925,4033,147
Western Sahara,565581,266000,2
Malta,526748,316,1667
Maldives,521457,300,1746
Brunei,445373,5765,85
Bahamas,407906,13943,41
Belize,400031,22966,18
Guadeloupe,396051,1628,243
Iceland,370335,103000,4
Martinique,368796,1128,326
Vanuatu,319137,12189,27
Mayotte,316014,374,872
French Guiana,297449,83534,4
Barbados,281200,430,655
Sao Tome and Principe,223107,964,237
Samoa,218764,2842,80
Saint Lucia,179651,616,295
Kiribati,128874,811,162
Grenada,124610,344,369
Micronesia,113131,702,163
Seychelles,106471,452,233
Tonga,106017,747,148
Saint Vincent and the Grenadines,104332,389,267
Antigua and Barbuda,93219,442,213
Andorra,79034,468,170
Dominica,72412,751,97
Greenland,56243,2166086,0.14
Saint Kitts and Nevis,47606,261,183
Marshall Islands,42050,181,231
Liechtenstein,39039,160,246
Monaco,36686,2,18235
San Marino,33745,61,561
Palau,18024,459,39
Nauru,12511,21,633
Tuvalu,11204,26,377
Vatican City,511,1,1159
